來源,序號,業者代碼,國語,臺灣台語_羅馬字,臺灣台語_第二羅馬字,臺灣台語_漢字建議,臺灣台語_說明,臺灣客語_羅馬字,臺灣客語_漢字建議,臺灣客語_說明,音檔
臺灣鐵路站名,124,4430,正義,Tsìng-gī,,,,ziin ngi,,,124_正義.mp3
臺灣鐵路站名,125,4440,鳳山,Hōng-suann,,,,fung sanˊ,,,125_鳳山.mp3
臺灣鐵路站名,126,4450,後庄,Āu-tsng,,,,heu zongˊ,,,126_後庄.mp3
臺灣鐵路站名,127,4460,九曲堂,Kiú-khiok-tông,,,俗唸作Kiú-kok-tông,giuˋ kiugˋ tongˇ,,,127_九曲堂.mp3
臺灣鐵路站名,128,4470,六塊厝,La̍k-tè-tshù,,,,liugˋ kuai vugˋ,六塊屋,"現：liugˋ de vugˋ（六垤屋）。經調查當地存在「kuai cu」、「de vugˋ」、「kuai vugˋ」等對譯。經諮詢工作委員、參考客語台及文獻2參考文獻：邱坤玉《退時》。收錄於105 年教育部「全國語文競賽－客家語朗讀文章」。決定統一為「kuai vugˋ」。
參考文獻：邱坤玉《退時》。收錄於105 年教育部「全國語文競賽－客家語朗讀文章」。",128_六塊厝.mp3
臺灣鐵路站名,129,5000,屏東,Pîn-tong,(Pîn-tong),,,pinˇ dungˊ,,,129_屏東.mp3
臺灣鐵路站名,130,5010,歸來,Kui-lâi,,,,guiˊ loiˇ,,,130_歸來.mp3
臺灣鐵路站名,131,5020,麟洛,Lîn-lo̍k,(Lîn-lo̍k),,現：Lîn-lo̍k33。,linˇ log,,,131_麟洛.mp3
臺灣鐵路站名,132,5030,西勢,Sai-sì,,,,xiˊ sii,,,132_西勢.mp3
臺灣鐵路站名,133,5040,竹田,Tik-tshân,,,,zugˋ tienˇ,,,133_竹田.mp3
臺灣鐵路站名,134,5050,潮州,Tiô-tsiu,(Tiô-tsiu),,,ceuˇ zuˊ,,,134_潮州.mp3
臺灣鐵路站名,135,5060,崁頂,Khàm-tíng,,,現：Kham55 ting51。,kam dangˋ,,,135_崁頂.mp3
臺灣鐵路站名,136,5070,南州,Lâm-tsiu,(Lâm-tsiu),,,namˇ zuˊ,,,136_南州.mp3
臺灣鐵路站名,137,5080,鎮安,Tìn-an,,,,ziinˋ onˊ,,現：ziin onˊ。,137_鎮安.mp3
臺灣鐵路站名,138,5090,林邊,Nâ-á-pinn,,林仔邊,,limˇ bienˊ,,,138_林邊.mp3
臺灣鐵路站名,139,5100,佳冬,Ka-tang,,茄苳,,gaˊ dungˊ,,,139_佳冬.mp3
臺灣鐵路站名,140,5110,東海,Tang-hái,,,,dungˊ hoiˋ,,,140_東海.mp3
臺灣鐵路站名,141,5120,枋寮,Pang-liâu,,,,biongˊ liauˇ,,,141_枋寮.mp3
臺灣鐵路站名,142,7390,暖暖,Luán-luán,,,,nonˊ nonˊ,,,142_暖暖.mp3
臺灣鐵路站名,143,7380,四腳亭,Sì-kha-tîng,,四跤亭,,xi giogˋ tinˇ,,,143_四腳亭.mp3
臺灣鐵路站名,144,7360,瑞芳,Suī-hong,,,,sui fongˊ,,,144_瑞芳.mp3
